country,gross_loans
The Gambia,2211844
Liberia,3079348
Sierra Leone,3506023
Republic of the Congo,3586558
Namibia,3867860
Mali,3931992
Chad,7991961
Niger,8349366
Zambia,11218986
Guinea,11926509
Mozambique,13069803
Malawi,17700453
Zimbabwe,19189087
Burundi,30923939
Burkina Faso,33023154
South Sudan,33794465
Ghana,53973978
Madagascar,66454906
Rwanda,86767232
Côte d'Ivoire,110384177
Democratic Republic of the Congo,127229259
Tanzania,137839340
Togo,171369607
Benin,177572052
Uganda,178502548
Senegal,222842331
Cameroon,247734649
Nigeria,274768168
Ethiopia,558787567
Kenya,1849996504
South Africa,3422231357
