Dénomination,latitude,longitude
COOPEC DIBAYA-LUBWE,-3.316667,17.366667
COOPEC GUNGU,-5.73333,19.31667
COOPEC ECCommune de  Kikwit,-3.316667,17.366667
COOPEC ECOLE,-5.033333,18.816667
COOPEC LUKOLELA,-5.033333,18.816667
COOPEC Saint François Xavier/Cathédrale,-5.033333,18.816667
MUCREFEKI / COOPEC,-5.033333,18.816667
COOPEC MASIMANIMBA,-4.771538,17.899857
COOPEC MOKALA,-3.316667,17.366667
COOPEC UDIPAK,-5.033333,18.816667
COOPEC IDIOFA,-4.962607,19.589538
MEC IDECE / COOPEC Bandundu,-3.316667,17.366667
COOPEC CEFMC,-5.033333,18.816667
COOPEC BULUNGU,-4.545685,18.59975
IMF CREDIT YA MPA,-5.033333,18.816667
COOPEC MAYOMBE,-5.264131,12.94843
CAMEC INKISI / COOPEC,-5.649637,15.111924
CEAC KINZA MVUETE,-5.489058,13.29296
CAMEC MBANZA-NGUNGU/COOPEC,-5.255915,14.860505
IMF BUSINA MICROCREDIT sprl,-5.85,13.05
COOPEC CBCO MBANZA NGUNGU,-5.253956,14.861205
COOPEC CBCO BOMA,-5.85,13.05
CAMEC KWILU-NGONGO / COOPEC,-5.5,14.683333
CEAC MATADI / MVUADU,-5.816667,13.483333
COOPEC Mbongo za Kinvuka,-5.5,14.683333
COOPEC CEC,-5.85,13.05
COOPEC KINSU KI MATE,-5.138219,15.090815
CEAC LUKULA,-5.395549,12.94931
MECRE MATADI,-5.816667,13.483333
FINCA International Boma,-5.85,13.05
FINCA International Matadi,-5.816667,13.483333
IMF MAMA TOMBWAMA,4.283333,21.016667
COOPEC DEKOC,-5.897,22.448833
IMF ADEKOR,-6.104746,23.626416
COOPEC MUDIANO,-6.133333,24.483333
COOPELO,-11.648841,27.472726
IMF TUJENGE,-11.664677,27.479553
COOPEC KIBUNGO,-11.664677,27.479553
COOPEC CPD,-10.983333,26.733333
COOPEC MKONO MKONONI,-12.1975,27.797778
FINCA International Kolwezi,-10.716667,25.466667
FINCA International Likasi,-10.983333,26.733333
FINCA International Lomami,-6.145393,24.524264
FINCA International Katuba,-11.708576,27.449766
FINCA International Bel Air,-11.661148,27.508489
COOPEC BOLINGO,-4.348889,15.252778
COOPEC’SCO,-4.303056,15.303333
MEC DECO/COOPEC,-4.348889,15.252778
COOPEC CBCO,-4.348611,15.279722
COOPEC CEAC / MATETE,-4.387873,15.351174
COOPECAS,-4.331667,15.313889
MEC-CAPROS/COOPEC,-4.378535,15.3219
MECRE GOMBE COOPEC,-4.303056,15.303333
MECRE KINTAMBO MAGASIN MECRECO,-4.341667,15.267778
MECRE MASINA/COOPEC,-4.363056,15.395
MECRE NGALIEMA UPN/COOPEC MECRECO,-4.348889,15.252778
MECRECO/COOCEC,-4.303056,15.303333
MECREKIN/COOPEC,-4.303056,15.303333
MUFESAKIN / COOPEC,-4.3425,15.305278
MUTECREDE/COOPEC,-4.331667,15.313889
MEC BOMOKO COOPEC,-4.396111,15.318889
COOPEC CEAC KINTAMBO,-4.341667,15.267778
IMF APE,-4.424722,15.295556
IMF HOPE RDC,-4.303056,15.303333
IMF LIFE-VEST,-4.303056,15.303333
IMF VIA NOVA sprl,-4.3425,15.305278
CAMEC MONT NGAFULA / COOPEC,-4.424722,15.295556
IMF OPPORTUNITY INTERNETIONAL RDC,-4.348889,15.252778
COOPPEC UNION ET CHARITE,-4.348333,15.339444
MEC IDECE/Kinshsa,-4.408889,15.3775
COOPEC FAIDEC,-4.331667,15.313889
IMF YOASI,-4.329917,15.318496
IMF CREP (1er catégorie),-4.303056,15.303333
IMF SILVER (2er catégorie),-4.331667,15.313889
COOPEC EFFETA /MAMA MOBUTU,-4.407806,15.250818
IMF PALMIER,-4.3425,15.305278
CEAC OZONE,-4.348889,15.252778
IMF CONGO CREDIT FINANCE,-4.348889,15.252778
IMF AFRIMIC,-4.3475,15.32
COOPEC BUKAVU/KINSHASA,-4.331667,15.313889
IMF OXUS RDC,-4.331667,15.313889
IMF PADERU,-4.409444,15.3425
ProCredit Bank DRC Siège principal,-4.300277,15.309711
ProCredit Bank Gombe II GOMBE VI,-4.302084,15.311696
ProCredit Bank KINTAMBO,-4.331207,15.250896
ProCredit Bank LIMETÉ,-4.348333,15.339444
ProCredit Bank LIMETÉ 16ÈME,-4.348333,15.339444
ProCredit Bank MA CAMPAGNE,-4.348889,15.252778
ProCredit Bank MATADI KIBALA,-4.404701,15.267041
ProCredit Bank MATETE,-4.387873,15.351174
ProCredit Bank N’DJILI,-4.408889,15.3775
